1,1,687.76,288.17,758.7,324.93,0.75415
1,2,805.84,281.89,856.34,312.09,0.74311
2,1,684.56,290.2,754.23,327.59,0.76705
2,2,803.59,283.15,853.88,311.93,0.75706
2,3,746.6,379.57,874.8,462.46,0.67456
3,1,677.41,290.27,751.89,330.23,0.76796
3,2,801.31,283.96,850.93,312.78,0.75388
3,3,756.33,376.65,875.34,458.54,0.67895
4,1,675.45,291.38,748.35,331.53,0.7563
4,2,801.27,284.78,847.71,313.29,0.7732
5,1,668.79,290.09,740.58,331.08,0.74296
5,2,795.53,283.94,847.83,314.86,0.73635
6,1,659.85,289.36,736.68,332.24,0.7122
6,2,793.75,285.75,844.02,314.87,0.75477
6,3,773.98,366.56,905.59,449.42,0.67384
7,1,659.99,292.11,731.2,333.44,0.71786
7,2,789.69,286.96,841.76,316.59,0.73121
8,1,788.18,286.79,839.76,315.91,0.74594
8,2,657.24,298.21,721.64,336.98,0.73752
8,3,790.96,354.07,924.13,462.92,0.68068
9,1,652.14,294.82,726.04,336.01,0.74131
9,2,783.41,287.49,839.69,318.35,0.7167
9,3,779.33,349.11,955.35,452.92,0.67346
10,1,644.87,297.42,719.22,338.73,0.75229
10,2,780.55,287.64,836.53,318.82,0.73486
10,3,803.24,354.14,920.11,438.6,0.66633
11,1,635.41,296.03,715.25,340.17,0.73124
11,2,779.19,289.33,832.79,318.44,0.76605
11,3,802.37,346.25,947.87,516.88,0.71927
12,1,629.18,294.71,706.81,341.73,0.71504
12,2,775.07,289.34,832.34,320.35,0.74976
12,3,815.18,343.6,940.38,461.17,0.70328
13,1,626.37,297.62,703.89,342.15,0.72584
13,2,771.24,289.66,829.83,321.31,0.73067
13,3,813.86,343.45,942.59,452.36,0.71138
14,1,619.78,298.36,701.63,344.57,0.73784
14,2,772.04,291.16,824.69,321.86,0.75722
14,3,825.19,343.67,935.65,431.28,0.67671
15,1,615.34,301.09,692.74,347.19,0.74483
15,2,766.98,291.33,824.81,323.63,0.7236
15,3,826.68,340.8,954.57,461.03,0.72433
16,1,602.68,302.02,684.92,348.54,0.71825
16,2,763.4,291.9,820.54,325.39,0.7387
16,3,834.16,337.56,953.46,467.58,0.71221
17,1,594.78,299.48,683.19,351.97,0.71504
17,2,760.72,292.76,816.52,325.58,0.75102
17,3,827.56,338.18,960,464.82,0.68382
18,1,592.28,303.12,675.45,350.83,0.6979
18,2,756.7,293.14,812.85,327.28,0.74983
18,3,834.19,334.63,960,473.96,0.67625
19,1,585.66,305.42,672.32,352.93,0.73012
19,2,750.39,290.73,815.03,328.21,0.71427
19,3,842.04,335.99,960,466.74,0.67531
20,1,578.41,303.37,667.72,356.2,0.72197
20,2,746.87,291.99,811.54,328.1,0.70908
20,3,845.66,326.94,960,458.79,0.68967
21,1,573.1,308.18,661.86,354.76,0.72403
21,2,744.81,291.06,810.64,330.92,0.71292
21,3,857.46,340.2,960,453.55,0.67001
22,1,562.67,308.14,658.02,360.03,0.72766
22,2,743.25,296.57,801.15,329.77,0.7481
22,3,861.67,329.5,959.3,429.36,0.70878
23,1,566.11,314.66,653.26,359.63,0.75322
23,2,741.8,297.49,797.52,331.3,0.74917
24,1,551.76,312.6,648.78,362.79,0.74058
24,2,732.88,297.27,797.5,333.51,0.71303
25,1,542.43,312.52,639.75,363.7,0.73305
25,2,730.06,297.72,793.62,336.17,0.71241
25,3,814.43,285.37,960,390.98,0.68413
26,1,532.23,311.87,635.22,366.21,0.71523
26,2,725.14,298.82,788.81,334.67,0.71985
26,3,815.6,284.49,960,390.3,0.67963
27,1,721.15,299.85,787.59,336.02,0.72597
27,2,532.87,317.26,627.71,366.26,0.71938
28,1,520.18,317.82,629.41,374.01,0.73842
28,2,716.71,302.08,784.37,339.01,0.72893
28,3,815.95,284.57,960,389.96,0.70226
29,1,510.37,320.17,622.47,375.73,0.74651
29,2,712.63,301.25,783.19,340.08,0.7104
29,3,817.8,284.74,958.89,391.02,0.72082
30,1,709.66,303.66,779.86,340.79,0.72284
30,2,501.14,318.14,606.44,374.74,0.71104
31,1,706.99,304.23,772.16,340.74,0.73846
31,2,489.85,317.81,602,378.57,0.71934
32,1,487.76,323.34,597,378.57,0.72898
32,2,699.82,303.66,772.71,343.99,0.71967
33,1,480.34,327.65,588.48,381.89,0.72075
33,2,696.33,304.49,767.51,343.55,0.7326
34,1,468,336.26,557.17,386.25,0.65483
34,2,691.27,305.96,764.52,345.95,0.72881
34,3,505.41,328.26,577.82,379.81,0.71543
35,1,689.56,308.89,759.48,346.74,0.75434
35,2,450.5,326.94,566.31,387.2,0.7136
36,1,685.46,310.84,756.23,348.96,0.74526
36,2,447.57,329.37,561.08,390.96,0.7173
37,1,455.86,331.78,557.03,393.48,0.75913
37,2,680.74,310.77,751.29,349.15,0.77835
37,3,292.77,277.79,328.96,314.1,0.67424
38,1,672.59,311.04,746.97,351.27,0.75321
38,2,462.34,335.47,543,394.4,0.71462
38,3,457.58,324.23,555.54,368.6,0.67235
39,1,668.56,311.34,742.5,353.17,0.75245
39,2,418.85,338.63,535.33,399.18,0.74456
40,1,400.37,332.67,530.69,403.9,0.74304
40,2,663.61,312,739.44,354.77,0.75268
41,1,659.01,315.28,737.37,356.57,0.7699
41,2,407.35,345.52,513.74,403.14,0.75023
42,1,379.11,339.61,511.64,412.15,0.74994
42,2,654.22,315.65,733.38,357.3,0.7581
43,1,646.19,315.42,729.47,360.1,0.74148
43,2,361.23,338.09,506.8,421.39,0.74302
43,3,676.6,506.52,803.15,540,0.66259
44,1,362.67,347.83,487.21,417.77,0.73981
44,2,640.46,316.58,725.1,362.18,0.7345
44,3,389.63,330.23,500.01,393.92,0.65696
45,1,635.94,319.31,721.48,363.17,0.74916
45,2,353.18,347.17,485.53,426.06,0.7538
46,1,630.26,319.63,716.6,364.53,0.74108
46,2,335.75,349.32,473.4,429.65,0.76991
47,1,362.36,353.62,459.8,423.1,0.71758
47,2,626.55,321.02,711.32,366.2,0.7551
47,3,370.33,341.48,478.67,392.1,0.67787
48,1,620.12,322.35,707.09,368.13,0.75055
48,2,298.42,355.97,460.21,438.95,0.73739
48,3,703.97,480.84,875.29,540,0.65162
49,1,612.07,324.25,702.42,370.15,0.7546
49,2,330.39,358.82,444.79,429.65,0.72093
49,3,293.95,351.5,431.34,408.07,0.71303
50,1,274.09,350.25,448.05,440.68,0.75136
50,2,603.46,325.02,697.72,371.51,0.73297
